"","Country","Continent","Rank","Growth.Rate","Density..per.km..","child_mort","exports","health","imports","income","inflation","life_expec","total_fer","gdpp"
"125","Seychelles","Africa",196,1.0061,236.9867,14.4,93.8,3.4,108,20400,-4.21,73.4,2.17,10800
"126","Sierra Leone","Africa",102,1.022,119.957,160,16.8,13.1,34.5,1220,17.2,55,5.2,399
"127","Singapore","Asia",113,1.0058,8416.4634,2.8,200,3.96,174,72100,-0.046,82.7,1.15,46600
"128","Slovenia","Europe",148,1.0002,104.5649,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400
"129","Solomon Islands","Oceania",166,1.0232,25.0648,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290
"130","South Africa","Africa",24,1.0084,49.0517,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280
"131","South Korea","Asia",29,0.9997,517.0722,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100
"132","Spain","Europe",30,1.0015,93.9909,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700
"133","Sri Lanka","Asia",61,1.0027,332.7563,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810
"134","Sudan","Africa",32,1.0267,24.8529,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480
"135","Suriname","South America",170,1.0082,3.7727,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300
"136","Sweden","Europe",87,1.0079,23.4276,3,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100
"137","Switzerland","Europe",101,1.0056,211.7157,4.5,64,11.5,53.3,55500,0.317,82.2,1.52,74600
"138","Tajikistan","Asia",95,1.0208,69.5513,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738
"139","Tanzania","Africa",22,1.03,69.3034,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702
"140","Thailand","Asia",20,1.0013,139.7276,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080
"141","Timor-Leste","Asia",155,1.0154,90.1772,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600
"142","Togo","Africa",100,1.0236,155.8281,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488
"143","Tonga","Oceania",197,1.0079,143.0495,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550
"144","Tunisia","Africa",79,1.0076,75.5218,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140
"145","Turkey","Asia",18,1.0067,108.9145,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700
"146","Turkmenistan","Asia",111,1.014,13.1751,62,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440
"147","Uganda","Africa",31,1.0304,195.61,81,17.1,9.01,28.6,1540,10.6,56.8,6.15,595
"148","Ukraine","Europe",38,0.912,65.7858,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970
"149","United Arab Emirates","Asia",97,1.0081,112.9322,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000
"150","United Kingdom","Europe",21,1.0034,277.9289,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900
"151","United States","North America",3,1.0038,36.0935,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400
"152","Uruguay","South America",133,0.999,18.9069,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900
"153","Uzbekistan","Asia",43,1.016,77.3975,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380
"154","Vanuatu","Oceania",181,1.0238,26.8061,29.2,46.6,5.25,52.7,2950,2.62,63,3.5,2970
"155","Venezuela","South America",51,1.0036,30.882,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500
"156","Vietnam","Asia",16,1.0074,296.4472,23.3,72,6.84,80.2,4490,12.1,73.1,1.95,1310
"157","Yemen","Asia",46,1.0217,63.8232,56.3,30,5.18,34.4,4480,23.6,67.5,4.67,1310
"158","Zambia","Africa",63,1.028,26.5976,83.1,37,5.89,30.9,3280,14,52,5.4,1460
